,year,Country,Champion
0,1968,USA,Billie Jean King (3)
1,1969,GBR,Ann Jones
2,1970,AUS,Margaret Court (3)
3,1971,AUS,Evonne Goolagong
4,1972,USA,Billie Jean King (4)
5,1973,USA,Billie Jean King (5)
6,1974,USA,Chris Evert
7,1975,USA,Billie Jean King (6)
8,1976,USA,Chris Evert (2)
9,1977,GBR,Virginia Wade
10,1978,USA,Martina Navratilova[h]
11,1979,USA,Martina Navratilova (2)
12,1980,AUS,Evonne Goolagong (2)
13,1981,USA,Chris Evert (3)
14,1982,USA,Martina Navratilova (3)
15,1983,USA,Martina Navratilova (4)
16,1984,USA,Martina Navratilova (5)
17,1985,USA,Martina Navratilova (6)
18,1986,USA,Martina Navratilova (7)
19,1987,USA,Martina Navratilova (8)
20,1988,FRG[j],Steffi Graf
21,1989,FRG,Steffi Graf (2)
22,1990,USA,Martina Navratilova (9)
23,1991,GER,Steffi Graf (3)
24,1992,GER,Steffi Graf (4)
25,1993,GER,Steffi Graf (5)
26,1994,ESP,Conchita Martínez
27,1995,GER,Steffi Graf (6)
28,1996,GER,Steffi Graf (7)
29,1997,SUI,Martina Hingis
30,1998,CZE,Jana Novotná
31,1999,USA,Lindsay Davenport
32,2000,USA,Venus Williams
33,2001,USA,Venus Williams (2)
34,2002,USA,Serena Williams
35,2003,USA,Serena Williams (2)
36,2004,RUS,Maria Sharapova
37,2005,USA,Venus Williams (3)
38,2006,FRA,Amélie Mauresmo
39,2007,USA,Venus Williams (4)
40,2008,USA,Venus Williams (5)
41,2009,USA,Serena Williams (3)
42,2010,USA,Serena Williams (4)
43,2011,CZE,Petra Kvitová
44,2012,USA,Serena Williams (5)
45,2013,FRA,Marion Bartoli
46,2014,CZE,Petra Kvitová (2)
47,2015,USA,Serena Williams (6)
48,2016,USA,Serena Williams (7)
49,2017,ESP,Garbiñe Muguruza
50,2018,GER,Angelique Kerber
51,2019,ROU,Simona Halep
52,2020,No competition (due to COVID-19 pandemic)[6],No competition (due to COVID-19 pandemic)[6]
53,2021,AUS,Ashleigh Barty
54,2022,KAZ,Elena Rybakina
